Up Steps,Down Steps,Call Price,Put Price
12,0,519.0996888507191,0.0
11,1,359.93418379078946,0.0
10,2,242.03018282001372,0.008705281628291678
9,3,154.84169905359857,0.17210275688518664
8,4,91.19343329629591,1.2357022342387136
7,5,46.976187784851064,4.95818558292697
6,6,19.725206220102645,13.22182865230638
5,7,6.14852046342653,25.955023925263937
4,8,1.2359711338578996,40.53331384641621
3,9,0.11833014485168818,53.85484171072244
2,10,0.0,64.43331094390454
1,11,0.0,72.35769482612886
0,12,0.0,78.22822279375714
