Up Steps,Down Steps,Call Price,Put Price
18,0,1419.4245121000379,0.0
17,1,1024.9933728154083,0.0
16,2,732.7915980291061,0.0
15,3,516.3231991518778,0.0
14,4,355.9594650618289,0.0
13,5,237.15908891136286,0.0
12,6,149.1496056352558,0.0
11,7,83.95057683153277,0.0
10,8,36.25149449124527,0.6015461682626682
9,9,8.149173872616739,8.281211219146932
8,10,0.0,26.639984302677387
7,11,0.0,46.27755440065571
6,12,0.0,60.82542413915252
5,13,0.0,71.60275111353513
4,14,0.0,79.58679130640233
3,15,0.0,85.50151375593354
2,16,0.0,89.88324791682146
1,17,0.0,93.12931642139074
0,18,0.0,95.53406311515674
