,Days to Maturity,Implied Volatility,Historical Volatility
0,52,0.5274481991566584,0.3362157533365653
1,83,0.4548982362161826,0.2921794925751425
2,73,0.3443871058731016,0.2617167136924294
3,21,0.6612285139631554,0.2746373228986133
4,85,0.2755191353477961,0.28685099835808725
5,57,0.3713796279600673,0.263815901825711
6,41,0.29395192484486526,0.2763861670945319
7,62,0.4365057000263696,0.4506645815486334
8,71,0.38042418851394055,0.177902952375019
9,6,0.24793896847958916,0.02052240118506035
10,29,0.3848346955789936,0.35839426244790157
11,90,0.3312935820843115,0.29994406609287233
12,52,0.31265031803598253,0.2949144880981164
13,79,0.4281487743828658,0.2839403735421582
14,13,0.3091151328750497,0.1572343237236887
15,51,0.613411903977214,0.24246673017116976
16,41,0.6337672249007632,0.2861997902327035
17,20,0.6460265582070988,0.28691346338931456
18,73,0.37311915256938066,0.22968236227274436
19,22,0.2218653305862473,0.1905742553564539
20,66,0.3032274408765575,0.248641605075227
21,48,0.41144373055748107,0.18314523355131
22,90,0.3186231708709495,0.278330946558137
23,12,0.21047629496728185,0.07194278063988141
24,85,0.41553294199417246,0.3882169417964029
25,70,0.3481379371533535,0.41942065256612726
26,44,0.5571241152058779,0.2486865422875999
27,13,0.257117739621499,0.2506440218189292
28,78,0.3542164084283179,0.2944754152939623
29,6,0.452745675086173,0.20437977011355782
30,21,0.33508149966587025,0.6234850185753215
31,28,0.6103755628874958,0.5389635907504091
32,47,0.7024036488780212,0.1793669238713646
33,35,0.3604335323700878,0.21148687382058032
34,45,0.7703062582108412,0.3152615967950524
35,84,0.6100657996760961,0.39322865689202535
36,42,0.5334879101434394,0.3233858601007018
37,83,0.26835077480504493,0.24989372097990853
38,49,0.8007128080913111,0.16766786484231644
39,45,0.290021587464323,0.3152615967950524
40,20,0.5110524959356434,0.20363865458651925
41,22,0.5114637276609904,0.5070226396081402
42,50,0.5186069685852089,0.3942249529521667
43,79,0.7644747238256784,0.3972889596688768
44,3,0.5372747423781646,0.0
45,86,0.5268527809666417,0.2921270006351974
46,55,0.2799186457008116,0.22718108940890733
47,15,0.31843255099860285,0.12396474464663645
48,20,0.15291054161139744,0.2325603200949379
49,27,0.7214700421341963,0.2873923021536436
50,35,0.6562219636586641,0.25871034020428946
51,72,0.49880830775211354,0.30347123897774575
52,70,0.27334039819233213,0.3004640206772164
53,29,0.30841977871096277,0.2797908973385872
54,80,0.3479272918098402,0.23392061622375296
55,7,0.42783624533639786,0.24547168562518215
56,17,0.8534325329032569,0.26900421318308293
57,64,0.2534463295630098,0.252473202613584
58,72,0.5951033881688137,0.4126222902356911
59,90,0.43905177128110506,0.28697411589842275
60,49,0.6492384632388953,0.3249692014723289
61,30,0.39678511828319746,0.25655529867008764
62,17,0.29242928416951136,0.16604945205239494
63,85,0.31312962973321246,0.27636884830693215
64,80,0.5538186980485857,0.3373820962307136
65,27,0.32118569831442406,0.22940132754615325
66,31,0.7737278272924076,0.5453139104497752
67,27,0.372970206997149,0.39862029142161665
68,34,0.49859282684623013,0.22808003383394296
69,84,0.4316506762006162,0.25525159704193967
70,48,0.3914040958884134,0.4581688883763018
71,36,0.1791927986566162,0.32634536397321046
72,71,0.3725453798566592,0.177902952375019
73,50,0.283071694170784,0.30369374958046985
74,41,0.23790566014355677,0.19768804114262717
75,83,0.39090251428031575,0.2972642172927193
76,36,0.4997304257334303,0.2537150625188003
77,55,0.5907776988385386,0.3190935073292573
78,66,0.4103897431399556,0.19500716884151573
79,76,0.39667044639064586,0.2957391950653894
80,58,0.41311122565187136,0.44252762445830823
81,16,0.2792756928438815,0.1809014744215663
82,44,0.16534698217239333,0.17629373877842738
