,Days to Maturity,Implied Volatility,Historical Volatility
0,37,0.6556314154652189,0.29248795516259835
1,48,0.6948707612743583,0.20502637951895153
2,79,0.6622366575665427,0.24357039277687464
3,72,0.6794429848022394,0.26604654408017614
4,83,0.6413836656095506,0.25172035066953596
5,70,0.5429859143762018,0.27849123201945686
6,62,0.9349636541141183,0.29111483816683487
7,84,0.5523159286834477,0.20694784470400301
8,70,0.7132154353442758,0.2651028229344013
9,84,0.6585617783839812,0.3045101245011971
10,59,0.5990077711910604,0.26044075460426536
11,86,0.7508520354189948,0.27307929715662027
12,86,0.6468213956554435,0.26932796695140154
13,37,0.8004361699501064,0.29248795516259835
14,57,0.6447536606346114,0.19802289312549123
15,48,0.8950050594406338,0.20502637951895153
16,9,0.6220553815617055,0.28387660023178846
17,72,0.621986650333103,0.328586291177394
18,30,0.6957166408723207,0.28064815794764103
19,71,0.5249851594615453,0.2747590517653905
20,71,0.5288929242578352,0.2747590517653905
21,51,0.8290837665189301,0.19581700745726727
22,64,0.7020482931451888,0.28170126652923905
23,62,0.6208318449064278,0.20568649946375925
24,79,0.6979596868980943,0.25400004438059115
25,87,0.6287963770843066,0.2756269607617401
26,73,0.8164455589814757,0.236322672215052
27,45,0.8816737016408176,0.19849355502863839
28,83,0.8325523066608927,0.24520259471818778
29,20,0.6982301973046203,0.2356587402345664
30,84,0.8347645219091774,0.20694784470400301
31,9,0.629922581010836,0.28387660023178846
32,57,0.693304419231554,0.2721399805514565
33,72,0.6771184638361646,0.27994450871902665
34,69,0.5643424019536801,0.28138277917126553
35,70,0.9283946389551483,0.24486765846886074
36,73,0.8336648375600182,0.23643650614767914
37,63,0.698474624023414,0.28463779901633435
38,90,0.8407656141634612,0.2679478994446661
39,79,0.8127602988102144,0.2669911319757479
40,78,0.9601913916945144,0.256828411202213
41,70,0.7183991950531652,0.2651028229344013
42,78,0.6101280670141059,0.1922729790724115
43,3,0.5952738904272113,0.0
44,72,0.5207187260420928,0.2744415272498564
45,78,0.984050163862942,0.2662122966175432
46,79,0.7996262074879089,0.2669911319757479
47,17,0.8411248942673479,0.23207406189259938
48,9,0.6360303162954787,0.28387660023178846
